friendlier_id_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields,field_name,field_type_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields,definition_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields,friendlier_id_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields2,definition_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields2,match_status,unmatched_source
b1g_joGbEOvFDroC,T10_LE50_OC,esriFieldTypeInteger,T10_LE50_OC,b1g_joGbEOvFDroC,Household income is less than or equal to 50% of HAMFI AND persons per room is greater than 1,matched,
b1g_joGbEOvFDroC,T8_LE50_CB,esriFieldTypeDouble,T8_LE50_CB,b1g_joGbEOvFDroC,Household income is less than or equal to 50% of HAMFI AND housing cost burden is greater than 30%,matched,
b1g_joGbEOvFDroC,T8_LE50_CB50,esriFieldTypeDouble,T8_LE50_CB50,b1g_joGbEOvFDroC,Household income is less than or equal to 50% of HAMFI AND housing cost burden is greater than 50%,matched,
b1g_joGbEOvFDroC,T8_LE80,esriFieldTypeDouble,T8_LE80,b1g_joGbEOvFDroC,Household income is less than or equal to 80% of HAMFI,matched,
b1g_joGbEOvFDroC,T1_LE80_HP,esriFieldTypeDouble,T1_LE80_HP,b1g_joGbEOvFDroC,Household income is less than or equal to 80% of HAMFI AND has 1 or more of the 4 housing unit problems,matched,
b1g_joGbEOvFDroC,T2_LE80_HP2,esriFieldTypeDouble,T2_LE80_HP2,b1g_joGbEOvFDroC,Household income is less than or equal to 80% of HAMFI AND has 1 or more of the 4 severe housing unit problems,matched,
b1g_joGbEOvFDroC,T3_LE80_SUBST,esriFieldTypeInteger,T3_LE80_SUBST,b1g_joGbEOvFDroC,Household income is less than or equal to 80% of HAMFI AND lacking complete plumbing or kitchen facilities,matched,
b1g_joGbEOvFDroC,T10_LE80_OC,esriFieldTypeInteger,T10_LE80_OC,b1g_joGbEOvFDroC,Household income is less than or equal to 80% of HAMFI AND persons per room is greater than 1,matched,
b1g_joGbEOvFDroC,T8_LE80_CB,esriFieldTypeDouble,T8_LE80_CB,b1g_joGbEOvFDroC,Household income is less than or equal to 80% of HAMFI AND housing cost burden is greater than 30%,matched,
b1g_joGbEOvFDroC,T8_LE80_CB50,esriFieldTypeDouble,T8_LE80_CB50,b1g_joGbEOvFDroC,Household income is less than or equal to 80% of HAMFI AND housing cost burden is greater than 50%,matched,
b1g_joGbEOvFDroC,T1_LE30_HP_PCT,esriFieldTypeDouble,T1_LE30_HP_PCT,b1g_joGbEOvFDroC,Percent of extremely low income households (household income less than or equal to 30% HAMFI) with any of the 4 housing problems,matched,
b1g_joGbEOvFDroC,T2_LE30_HP2_PCT,esriFieldTypeDouble,T2_LE30_HP2_PCT,b1g_joGbEOvFDroC,Percent of extremely low income households (household income less than or equal to 30% HAMFI) with any of the 4 severe housing problems,matched,
