friendlier_id,field_name,field_type,values,definition,definition_source,parent_field_name,position
b1g_8XwiAQ81HSby,T3_EST66,esriFieldTypeInteger,,"Renter occupied AND with housing cost burden greater than 50%, None of the needs above AND household income is greater than 30% but less than or equal to 50% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST67,esriFieldTypeInteger,,"Renter occupied AND with housing cost burden greater than 50%, None of the needs above AND household income is greater than 50% but less than or equal to 80% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST68,esriFieldTypeInteger,,"Renter occupied AND with housing cost burden greater than 50%, None of the needs above AND household income is greater than 80% but less than or equal to 100% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST64,esriFieldTypeDouble,,"Renter occupied AND with housing cost burden greater than 50%, None of the needs above",,,
b1g_8XwiAQ81HSby,T3_EST22,esriFieldTypeInteger,,"Owner occupied AND with housing cost burden greater than 50%, None of the needs above AND household income is less than or equal to 30% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST23,esriFieldTypeInteger,,"Owner occupied AND with housing cost burden greater than 50%, None of the needs above AND household income is greater than 30% but less than or equal to 50% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST24,esriFieldTypeInteger,,"Owner occupied AND with housing cost burden greater than 50%, None of the needs above AND household income is greater than 50% but less than or equal to 80% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST25,esriFieldTypeInteger,,"Owner occupied AND with housing cost burden greater than 50%, None of the needs above AND household income is greater than 80% but less than or equal to 100% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST21,esriFieldTypeDouble,,"Owner occupied AND with housing cost burden greater than 50%, None of the needs above",,,
b1g_8XwiAQ81HSby,T3_EST71,esriFieldTypeInteger,,"Renter occupied AND with housing cost burden greater than 30% but less than or equal to 50%, None of the needs above AND household income is less than or equal to 30% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST72,esriFieldTypeInteger,,"Renter occupied AND with housing cost burden greater than 30% but less than or equal to 50%, None of the needs above AND household income is greater than 30% but less than or equal to 50% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST73,esriFieldTypeInteger,,"Renter occupied AND with housing cost burden greater than 30% but less than or equal to 50%, None of the needs above AND household income is greater than 50% but less than or equal to 80% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST74,esriFieldTypeInteger,,"Renter occupied AND with housing cost burden greater than 30% but less than or equal to 50%, None of the needs above AND household income is greater than 80% but less than or equal to 100% of HAMFI",,,
b1g_8XwiAQ81HSby,T3_EST70,esriFieldTypeDouble,,"Renter occupied AND with housing cost burden greater than 30% but less than or equal to 50%, None of the needs above",,,
b1g_8XwiAQ81HSby,T3_EST28,esriFieldTypeInteger,,"Owner occupied AND with housing cost burden greater than 30% but less than or equal to 50%, None of the needs above AND household income is less than or equal to 30% of HAMFI",,,
